client,linia_servei,ubicacio,mes,tipus_ingres,ingressos,costos
Ajuntament de Girona,Consultoria,Girona,2025-01,Puntual,12100,5800
Ajuntament de Girona,Manteniment,Girona,2025-01,Recurrent,10400,7600
Caixa d'Enginyers,Consultoria,Barcelona,2025-01,Puntual,10800,6500
Caixa d'Enginyers,Desenvolupament de Programari,Barcelona,2025-01,Recurrent,14400,8600
Caixa d'Enginyers,Formació,Barcelona,2025-01,Puntual,5800,3400
Consell Comarcal d'Osona,Consultoria,Vic,2025-01,Recurrent,22300,14900
Fira de Barcelona,Desenvolupament de Programari,Barcelona,2025-01,Recurrent,27300,12000
Grup Bon Preu,Manteniment,Manresa,2025-01,Puntual,11900,6800
Grup Bon Preu,Suport Tècnic,Manresa,2025-01,Puntual,11400,8100
Hospital Clínic de Barcelona,Formació,Barcelona,2025-01,Recurrent,4700,3100
Mútua de Terrassa,Manteniment,Terrassa,2025-01,Recurrent,8700,4500
Port de Tarragona,Desenvolupament de Programari,Tarragona,2025-01,Recurrent,14200,6800
Port de Tarragona,Suport Tècnic,Tarragona,2025-01,Recurrent,8500,4800
Transports de Reus,Auditoria,Reus,2025-01,Recurrent,15100,8300
Transports de Reus,Suport Tècnic,Reus,2025-01,Recurrent,8200,5300
Universitat de Lleida,Manteniment,Lleida,2025-01,Recurrent,5200,3600
Universitat de Lleida,Suport Tècnic,Lleida,2025-01,Puntual,8500,5400
Ajuntament de Girona,Consultoria,Girona,2025-02,Recurrent,11000,6100
Ajuntament de Girona,Consultoria,Girona,2025-02,Recurrent,10500,6200
Caixa d'Enginyers,Auditoria,Barcelona,2025-02,Recurrent,11800,6900
Consell Comarcal d'Osona,Manteniment,Vic,2025-02,Puntual,8500,5900
Fira de Barcelona,Desenvolupament de Programari,Barcelona,2025-02,Puntual,39800,22700
Fira de Barcelona,Suport Tècnic,Barcelona,2025-02,Puntual,5700,3000
Grup Bon Preu,Auditoria,Manresa,2025-02,Recurrent,9000,5600
Hospital Clínic de Barcelona,Formació,Barcelona,2025-02,Recurrent,9600,6200
Hospital Clínic de Barcelona,Manteniment,Barcelona,2025-02,Puntual,4600,2500
Mútua de Terrassa,Auditoria,Terrassa,2025-02,Puntual,24200,15300
Mútua de Terrassa,Consultoria,Terrassa,2025-02,Recurrent,27300,17800
Mútua de Terrassa,Suport Tècnic,Terrassa,2025-02,Recurrent,9300,7000
Port de Tarragona,Manteniment,Tarragona,2025-02,Recurrent,3700,1900
Transports de Reus,Formació,Reus,2025-02,Recurrent,8600,4300
Transports de Reus,Manteniment,Reus,2025-02,Puntual,13200,7900
Universitat de Lleida,Manteniment,Lleida,2025-02,Puntual,10300,6400
Ajuntament de Girona,Desenvolupament de Programari,Girona,2025-03,Puntual,24000,15500
Caixa d'Enginyers,Desenvolupament de Programari,Barcelona,2025-03,Recurrent,29000,17600
Caixa d'Enginyers,Manteniment,Barcelona,2025-03,Recurrent,12900,8600
Caixa d'Enginyers,Suport Tècnic,Barcelona,2025-03,Recurrent,12200,8800
Consell Comarcal d'Osona,Consultoria,Vic,2025-03,Recurrent,15400,9300
Consell Comarcal d'Osona,Formació,Vic,2025-03,Recurrent,16000,8000
Fira de Barcelona,Desenvolupament de Programari,Barcelona,2025-03,Recurrent,37100,21700
Fira de Barcelona,Formació,Barcelona,2025-03,Recurrent,13600,9000
Fira de Barcelona,Manteniment,Barcelona,2025-03,Recurrent,4200,2900
Grup Bon Preu,Formació,Manresa,2025-03,Puntual,8600,3800
Grup Bon Preu,Formació,Manresa,2025-03,Recurrent,9600,5300
Grup Bon Preu,Suport Tècnic,Manresa,2025-03,Recurrent,6600,4400
Hospital Clínic de Barcelona,Desenvolupament de Programari,Barcelona,2025-03,Recurrent,54600,24900
Hospital Clínic de Barcelona,Manteniment,Barcelona,2025-03,Recurrent,9400,6100
Mútua de Terrassa,Consultoria,Terrassa,2025-03,Puntual,30300,16300
Mútua de Terrassa,Manteniment,Terrassa,2025-03,Puntual,14900,8500
Port de Tarragona,Desenvolupament de Programari,Tarragona,2025-03,Recurrent,22300,13200
Transports de Reus,Consultoria,Reus,2025-03,Puntual,23100,14900
Transports de Reus,Manteniment,Reus,2025-03,Recurrent,10300,5200
Universitat de Lleida,Consultoria,Lleida,2025-03,Recurrent,34000,23100
Universitat de Lleida,Desenvolupament de Programari,Lleida,2025-03,Recurrent,49600,32200
Universitat de Lleida,Suport Tècnic,Lleida,2025-03,Puntual,6500,3700
Ajuntament de Girona,Suport Tècnic,Girona,2025-04,Puntual,7900,4300
Caixa d'Enginyers,Desenvolupament de Programari,Barcelona,2025-04,Recurrent,46100,23500
Consell Comarcal d'Osona,Consultoria,Vic,2025-04,Recurrent,22400,13500
Fira de Barcelona,Suport Tècnic,Barcelona,2025-04,Recurrent,8600,5000
Grup Bon Preu,Consultoria,Manresa,2025-04,Recurrent,34100,14700
