client,service_line,location,month,revenue_type,revenue,cost
Ajuntament de Girona,Consulting,Girona,2025-01,One-off,12100,5800
Ajuntament de Girona,Maintenance,Girona,2025-01,Recurring,10400,7600
Caixa d'Enginyers,Consulting,Barcelona,2025-01,One-off,10800,6500
Caixa d'Enginyers,Software Development,Barcelona,2025-01,Recurring,14400,8600
Caixa d'Enginyers,Training,Barcelona,2025-01,One-off,5800,3400
Consell Comarcal d'Osona,Consulting,Vic,2025-01,Recurring,22300,14900
Fira de Barcelona,Software Development,Barcelona,2025-01,Recurring,27300,12000
Grup Bon Preu,Maintenance,Manresa,2025-01,One-off,11900,6800
Grup Bon Preu,Technical Support,Manresa,2025-01,One-off,11400,8100
Hospital Clínic de Barcelona,Training,Barcelona,2025-01,Recurring,4700,3100
Mútua de Terrassa,Maintenance,Terrassa,2025-01,Recurring,8700,4500
Port de Tarragona,Software Development,Tarragona,2025-01,Recurring,14200,6800
Port de Tarragona,Technical Support,Tarragona,2025-01,Recurring,8500,4800
Transports de Reus,Auditing,Reus,2025-01,Recurring,15100,8300
Transports de Reus,Technical Support,Reus,2025-01,Recurring,8200,5300
Universitat de Lleida,Maintenance,Lleida,2025-01,Recurring,5200,3600
Universitat de Lleida,Technical Support,Lleida,2025-01,One-off,8500,5400
Ajuntament de Girona,Consulting,Girona,2025-02,Recurring,11000,6100
Ajuntament de Girona,Consulting,Girona,2025-02,Recurring,10500,6200
Caixa d'Enginyers,Auditing,Barcelona,2025-02,Recurring,11800,6900
Consell Comarcal d'Osona,Maintenance,Vic,2025-02,One-off,8500,5900
Fira de Barcelona,Software Development,Barcelona,2025-02,One-off,39800,22700
Fira de Barcelona,Technical Support,Barcelona,2025-02,One-off,5700,3000
Grup Bon Preu,Auditing,Manresa,2025-02,Recurring,9000,5600
Hospital Clínic de Barcelona,Maintenance,Barcelona,2025-02,One-off,4600,2500
Hospital Clínic de Barcelona,Training,Barcelona,2025-02,Recurring,9600,6200
Mútua de Terrassa,Auditing,Terrassa,2025-02,One-off,24200,15300
Mútua de Terrassa,Consulting,Terrassa,2025-02,Recurring,27300,17800
Mútua de Terrassa,Technical Support,Terrassa,2025-02,Recurring,9300,7000
Port de Tarragona,Maintenance,Tarragona,2025-02,Recurring,3700,1900
Transports de Reus,Maintenance,Reus,2025-02,One-off,13200,7900
Transports de Reus,Training,Reus,2025-02,Recurring,8600,4300
Universitat de Lleida,Maintenance,Lleida,2025-02,One-off,10300,6400
Ajuntament de Girona,Software Development,Girona,2025-03,One-off,24000,15500
Caixa d'Enginyers,Maintenance,Barcelona,2025-03,Recurring,12900,8600
Caixa d'Enginyers,Software Development,Barcelona,2025-03,Recurring,29000,17600
Caixa d'Enginyers,Technical Support,Barcelona,2025-03,Recurring,12200,8800
Consell Comarcal d'Osona,Consulting,Vic,2025-03,Recurring,15400,9300
Consell Comarcal d'Osona,Training,Vic,2025-03,Recurring,16000,8000
Fira de Barcelona,Maintenance,Barcelona,2025-03,Recurring,4200,2900
Fira de Barcelona,Software Development,Barcelona,2025-03,Recurring,37100,21700
Fira de Barcelona,Training,Barcelona,2025-03,Recurring,13600,9000
Grup Bon Preu,Technical Support,Manresa,2025-03,Recurring,6600,4400
Grup Bon Preu,Training,Manresa,2025-03,One-off,8600,3800
Grup Bon Preu,Training,Manresa,2025-03,Recurring,9600,5300
Hospital Clínic de Barcelona,Maintenance,Barcelona,2025-03,Recurring,9400,6100
Hospital Clínic de Barcelona,Software Development,Barcelona,2025-03,Recurring,54600,24900
Mútua de Terrassa,Consulting,Terrassa,2025-03,One-off,30300,16300
Mútua de Terrassa,Maintenance,Terrassa,2025-03,One-off,14900,8500
Port de Tarragona,Software Development,Tarragona,2025-03,Recurring,22300,13200
Transports de Reus,Consulting,Reus,2025-03,One-off,23100,14900
Transports de Reus,Maintenance,Reus,2025-03,Recurring,10300,5200
Universitat de Lleida,Consulting,Lleida,2025-03,Recurring,34000,23100
Universitat de Lleida,Software Development,Lleida,2025-03,Recurring,49600,32200
Universitat de Lleida,Technical Support,Lleida,2025-03,One-off,6500,3700
Ajuntament de Girona,Technical Support,Girona,2025-04,One-off,7900,4300
Caixa d'Enginyers,Software Development,Barcelona,2025-04,Recurring,46100,23500
Consell Comarcal d'Osona,Consulting,Vic,2025-04,Recurring,22400,13500
Fira de Barcelona,Technical Support,Barcelona,2025-04,Recurring,8600,5000
Grup Bon Preu,Consulting,Manresa,2025-04,Recurring,34100,14700
Grup Bon Preu,Consulting,Manresa,2025-04,Recurring,16800,10500
Grup Bon Preu,Technical Support,Manresa,2025-04,Recurring,13500,7700
Hospital Clínic de Barcelona,Auditing,Barcelona,2025-04,Recurring,14000,7600
Hospital Clínic de Barcelona,Consulting,Barcelona,2025-04,Recurring,23600,12300
Mútua de Terrassa,Training,Terrassa,2025-04,Recurring,10900,6600
Mútua de Terrassa,Training,Terrassa,2025-04,Recurring,9500,6200
Port de Tarragona,Software Development,Tarragona,2025-04,Recurring,37200,18000
Transports de Reus,Software Development,Reus,2025-04,One-off,13000,5900
Transports de Reus,Technical Support,Reus,2025-04,One-off,14500,7500
Universitat de Lleida,Auditing,Lleida,2025-04,One-off,24600,14200
Ajuntament de Girona,Consulting,Girona,2025-05,Recurring,15200,7800
Caixa d'Enginyers,Software Development,Barcelona,2025-05,Recurring,34600,14600
Consell Comarcal d'Osona,Consulting,Vic,2025-05,One-off,10700,4600
Consell Comarcal d'Osona,Consulting,Vic,2025-05,Recurring,17500,11100
Consell Comarcal d'Osona,Technical Support,Vic,2025-05,Recurring,8900,5500
Fira de Barcelona,Technical Support,Barcelona,2025-05,One-off,10000,5700
Grup Bon Preu,Consulting,Manresa,2025-05,Recurring,10800,4700
Grup Bon Preu,Software Development,Manresa,2025-05,Recurring,45500,27800
Grup Bon Preu,Technical Support,Manresa,2025-05,Recurring,8400,6000
Hospital Clínic de Barcelona,Software Development,Barcelona,2025-05,Recurring,35900,20100
Hospital Clínic de Barcelona,Training,Barcelona,2025-05,One-off,14300,6000
Mútua de Terrassa,Technical Support,Terrassa,2025-05,Recurring,10000,6800
Port de Tarragona,Auditing,Tarragona,2025-05,Recurring,28600,14700
Port de Tarragona,Consulting,Tarragona,2025-05,Recurring,21700,11100
Transports de Reus,Software Development,Reus,2025-05,One-off,36300,21400
Universitat de Lleida,Consulting,Lleida,2025-05,Recurring,28300,12900
Universitat de Lleida,Maintenance,Lleida,2025-05,Recurring,4400,2800
